iata,icao,airport
KNX,YPKU,East Kimberley Regional Airport
DMD,YDMG,Doomadgee Airport
ORR,YYOR,Yorketown Airport
LVO,YLTN,Laverton Airport
YLG,YYAL,Yalgoo Airport
KOH,YKLA,Koolatah Airport
OPI,YOEN,Oenpelli Airport
MRZ,YMOR,Moree Airport
BME,YBRM,Broome International Airport
OOR,YMOO,Mooraberree Airport
OOM,YCOM,Cooma-Snowy Mountains Airport
KPP,YKPR,Kalpowar Airport
OOL,YBCG,Gold Coast Airport (Coolangatta Airport)
LWH,YLAH,Lawn Hill Airport
KPS,YKMP,Kempsey Airport
DNB,YDBR,Dunbar Airport
CKI,YCKI,Croker Island Airport
ONS,YOLW,Onslow Airport
BMP,YBPI,Brampton Island Airport
MRP,YALA,Marla Airport
ONR,YMNK,Monkira Airport
ONG,YMTI,Mornington Island Airport
MRG,YMBA,Mareeba Airfield
WYN,YWYM,Wyndham Airport
MQZ,YMGT,Margaret River Airport
WYA,YWHA,Whyalla Airport
KQR,YKAR,Karara Airport
KRA,YKER,Kerang Airport
WWY,YWWL,West Wyalong Airport
CKW,YCHK,Graeme Rowley Aerodrome
DNQ,YDLQ,Deniliquin Airport
KRB,YKMB,Karumba Airport
WWI,YWWI,Woodie Woodie Airport
MQL,YMIA,Mildura Airport
BNE,YBBN,Brisbane Airport
OLP,YOLD,Olympic Dam Airport
MFP,YMCR,Manners Creek Airport
MQE,YMQA,Marqua Airport
OKY,YBOK,Oakey Army Aviation Centre
BNK,YBNA,Ballina Byron Gateway Airport
CLH,YCAH,Coolah Airport
OKR,YYKI,Yorke Island Airport
KSV,YSPV,Springvale Airport
OKB,YORC,Orchid Beach Airport
WUN,YWLU,Wiluna Airport
WUI,YMMI,Murrin Murrin Airport
KTA,YPKA,Karratha Airport
MQA,YMDI,Mandora Station Airport
MGT,YMGB,Milingimbi Airport
KTR,YPTN,RAAF Base Tindal
ODR,YORV,Ord River Airport
ALH,YABA,Albany Airport
WUD,YWUD,Wudinna Airport
KUG,YKUB,Kubin Airport
ODD,YOOD,Oodnadatta Airport
DOX,YDRA,Dongara Airport
OCM,YBGD,Boolgeeda Airport
KWM,YKOW,Kowanyama Airport
CMA,YCMU,Cunnamulla Airport
OAG,YORG,Orange Airport
WTB,YBWW,Toowoomba Wellcamp Airport
MOV,YMRB,Moranbah Airport
CMD,YCTM,Cootamundra Airport
DPO,YDPO,Devonport Airport
LZR,YLZI,Lizard Island Airport
MOO,YOOM,Moomba Airport
NYN,YNYN,Nyngan Airport
WSY,YSHR,Whitsunday Airport
KYF,YYLR,Yeelirrie Airport
KYI,YYTA,Yalata Airport
DRB,YDBY,Derby Airport
DRD,YDOR,Dorunda Airport
BOX,YBRL,Borroloola Airport
CML,YCMW,Camooweal Airport
WRW,YWWG,Warrawagine Airport
WRN,YWDG,Windarling Airport
NUR,YNUB,Nullabor Motel Airport
NUB,YNUM,Numbulwar Airport
CMQ,YCMT,Clermont Airport
AMT,YAMT,Amata Airport
NTN,YNTN,Normanton Airport
NTL,YWLM,Newcastle Airport / RAAF Base Williamtown
DRN,YDBI,Dirranbandi Airport
MNW,YMDS,MacDonald Downs Airport
MNQ,YMTO,Monto Airport
NSV,YNSH,Noosa Airport
DRR,YDRI,Durrie Airport
NSO,YSCO,Scone Airport
WPK,YWMP,Wrotham Park Airport
NSM,YNSM,Norseman Airport
DRW,YPDN,Darwin International Airport
CNB,YCNM,Coonamble Airport
MNG,YMGD,Maningrida Airport
BQB,YBLN,Busselton Regional Airport
CNC,YCCT,Coconut Island Airport
DRY,YDRD,Drysdale River Airport
MNE,YMUG,Mungeranie Airport
NRG,YNRG,Narrogin Airport
NRA,YNAR,Narrandera Airport
BQL,YBOU,Boulia Airport
LCN,YBLC,Balcanoona Airport
WON,YWDL,Wondoola Airport
CNJ,YCCY,Cloncurry Airport
WOL,YWOL,Illawarra Regional Airport
MBB,YMBL,Marble Bar Airport
WNR,YWDH,Windorah Airport
LDC,YLIN,Lindeman Island Airport
BQW,YBGO,Balgo Hill Airport
LDH,YLHI,Lord Howe Island Airport
NOA,YSNW,NAS Nowra
MBF,YPOK,Porepunkah Airfield
CNS,YBCS,Cairns Airport
MBH,YMYB,Maryborough Airport
MMM,YMMU,Middlemount Airport
BRK,YBKE,Bourke Airport
WME,YMNE,Mount Keith Airport
LEA,YPLM,RAAF Learmonth (Learmonth Airport)
MMG,YMOG,Mount Magnet Airport
LEL,YLEV,Lake Evella Airport
WMB,YWBL,Warrnambool Airport
WLP,YANG,West Angelas Airport
NMR,YNAP,Nappa Merrie Airport
BRT,YBTI,Bathurst Island Airport
WLO,YWTL,Waterloo Airport
LER,YLST,Leinster Airport
MLV,YMEU,Merluna Airport
WLL,YWOR,Wollogorang Airport
WLE,YMLS,Miles Airport
WLC,YWCH,Walcha Airport
COJ,YCBB,Coonabarabran Airport
MBW,YMMB,Moorabbin Airport
WLA,YWAL,Wallal Airport
MLR,YMCT,Millicent Airport
NLL,YNUL,Nullagine Airport
LFP,YLFD,Lakefield Airport
WKB,YWKB,Warracknabeal Airport
WIT,YWIT,Wittenoom Airport
BSJ,YBNS,Bairnsdale Airport
WIO,YWCA,Wilcannia Airport
WIN,YWTN,Winton Airport
NLF,YDNI,Darnley Island Airport
MKY,YBMK,Mackay Airport
COY,YCWY,Coolawanyah Station Airport
LGH,YLEC,Leigh Creek Airport
ARM,YARM,Armidale Airport
MKV,YMVG,Mount Cavenagh Airport
NIF,YCNF,Nifty Airport
CPD,YCBP,Coober Pedy Airport
LHG,YLRD,Lightning Ridge Airport
NGA,YYNG,Young Airport
WGT,YWGT,Wangaratta Airport
ARY,YARA,Ararat Airport
NDS,YSAN,Sandstone Airport
DVP,YDPD,Davenport Downs Airport
MKR,YMEK,Meekatharra Airport
LKD,YLND,Lakeland Downs Airport
WGE,YWLG,Walgett Airport
LLG,YCGO,Chillagoe Airport
WGA,YSWG,Wagga Wagga Airport
WEW,YWWA,Wee Waa Airport
WEI,YBWP,Weipa Airport
DXD,YDIX,Dixie Airport
ASP,YBAS,Alice Springs Airport
MCV,YMHU,McArthur River Mine Airport
DYA,YDYS,Dysart Airport
NBH,YNHS,Nambucca Heads Airport
MCY,YBSU,Sunshine Coast Airport
CRB,YCBR,Collarenebri Airport
YUE,YYND,Yuendumu Airport
LNH,YLKN,Lake Nash Airport
WDI,YWND,Wondai Airport
LNO,YLEO,Leonora Airport
BTX,YBEO,Betoota Airport
NAC,YNRC,Naracoorte Airport
BUC,YBKT,Burketown Airport
MJP,YMJM,Manjimup Airport
NAA,YNBR,Narrabri Airport
LOA,YLOR,Lorraine Airport
WAZ,YWCK,Warwick Airport
WAV,YWAV,Wave Hill Airport
LOC,YLOK,Lock Airport
MJK,YSHK,Shark Bay Airport
MGB,YMTG,Mount Gambier Airport
MYO,YMYR,Myroodah Airport
MYI,YMUI,Murray Island Airport
MYA,YMRY,Moruya Airport
AUD,YAGD,Augustus Downs Airport
ECH,YECH,Echuca Airport
MEB,YMEN,Essendon Airport
EDR,YPMP,Edward River Airport
VNR,YVRS,Vanrook Airport
MIN,YMPA,Minnipa Airport
MIM,YMER,Merimbula Airport
BUY,YBUN,Bunbury Airport
AUU,YAUR,Aurukun Airport
ELC,YELD,Elcho Island Airport
MIH,YMIP,Mitchell Plateau Airport
MEL,YMML,Melbourne Airport
VCD,YVRD,Victoria River Downs Airport
CSI,YCAS,Casino Airport
AVG,YAUV,Auvergne Airport
EMD,YEML,Emerald Airport
BVI,YBDV,Birdsville Airport
UTB,YMTB,Muttaburra Airport
USL,YUSL,Useless Loop Airport
ENB,YEEB,Eneabba Airport
EPR,YESP,Esperance Airport
AVV,YMAV,Avalon Airport
RDA,YRKD,Rockhampton Downs Airport
ERB,YERN,Pukatja Airport (Ernabella Airport)
UMR,YPWR,RAAF Woomera Airfield
MET,YMOT,Moreton Airport
ERQ,YESE,Elrose Airport
ULP,YQLP,Quilpie Airport
UIR,YQDI,Quirindi Airport
MHU,YHOT,Mount Hotham Airport
AXC,YAMC,Aramac Airport
BVZ,YBYS,Beverley Springs Airport
UEE,YQNS,Queenstown Airport
BWB,YBWX,Barrow Island Airport
UDA,YUDA,Undara Airport
UBU,YKAL,Kalumburu Airport
ETD,YEDA,Etadunna Airport
UBB,YMAA,Mabuiag Island Airport
MHO,YMHO,Mount House Airport
EUC,YECL,Eucla Airport
CTL,YBCV,Charleville Airport
EVH,YEVD,Evans Head Memorial Aerodrome
CTN,YCKN,Cooktown Airport
TYP,YTMY,Tobermorey Airport
TYB,YTIB,Tibooburra Airport
BWQ,YBRW,Brewarrina Airport
BWT,YWYY,Burnie Airport
BWU,YSBK,Bankstown Airport
EXM,YEXM,Exmouth Airport
AYQ,YAYE,Ayers Rock Airport
AYR,YAYR,Ayr Airport
BXF,YBEB,Bellburn Airstrip
BXG,YBDG,Bendigo Airport
TWB,YTWB,Toowoomba City Aerodrome
TUM,YTMU,Tumut Airport
TTX,YTST,Truscott-Mungalalu Airport
TSV,YBTL,Townsville Airport
TRO,YTRE,Taree Airport
TQP,YTEE,Trepell Airport
CUD,YCDR,Caloundra Airport
FIK,YFNE,Finke Airport
TPR,YTMP,Tom Price Airport
CUG,YCUA,Cudal Airport
FIZ,YFTZ,Fitzroy Crossing Airport
FLS,YFLI,Flinders Island Airport
FLY,YFIL,Finley Airport
TMW,YSTW,Tamworth Airport
FOS,YFRT,Forrest Airport
FOT,YFST,Forster (Wallis Island) Airport
FRB,YFBS,Forbes Airport
TKY,YTKY,Turkey Creek Airport
CUQ,YCOE,Coen Airport
FVL,YFLO,Flora Valley Airport
FVR,YFRV,Forrest River Airport
THG,YTNG,Thangool Airport
GAH,YGAY,Gayndah Airport
TGN,YLTV,Latrobe Regional Airport
CUY,YCUE,Cue Airport
GBL,YGBI,South Goulburn Island Airport
BYP,YBRY,Barimunya Airport
CVC,YCEE,Cleve Airport
GBP,YGAM,Gamboola Airport
TEM,YTEM,Temora Airport
GBV,YGIB,Gibb River Airport
GBW,YGIA,Ginbata Airport
TEF,YTEF,Telfer Airport
TDR,YTDR,Theodore Airport
CVQ,YCAR,Carnarvon Airport
TDN,YTHD,Theda Station Airport
BBL,YLLE,Ballera Airport
GDD,YGDN,Gordon Downs Airport
BZD,YBRN,Balranald Airport
TCW,YTOC,Tocumwal Airport
GEE,YGTO,George Town Aerodrome
TCA,YTNK,Tennant Creek Airport
GET,YGEL,Geraldton Airport
GEX,YGLG,Geelong Airport
GFF,YGTH,Griffith Airport
CWR,YCWI,Cowarie Airport
TBL,YTAB,Tableland Homestead Airport
CWT,YCWR,Cowra Airport
CWW,YCOR,Corowa Airport
GFN,YGFN,Clarence Valley Regional Airport
TBK,YTBR,Timber Creek Airport
GGD,YGDS,Gregory Downs Airport
GIC,YBOI,Boigu Island Airport
TAN,YTGA,Tangalooma Airport
GKL,YGKL,Great Keppel Island Airport
BCI,YBAR,Barcaldine Airport
SYU,YWBS,Warraber Island Airport
GLG,YGLE,Glengyle Airport
GLI,YGLI,Glen Innes Airport
GLM,YGLO,Glenormiston Airport
SYD,YSSY,Sydney Airport (Kingsford Smith Airport)
CXQ,YCRK,Christmas Creek Airport
GLT,YGLA,Gladstone Airport
CXT,YCHT,Charters Towers Airport
SXE,YWSL,West Sale Airport
SWH,YSWH,Swan Hill Airport
SWC,YSWL,Stawell Airport
BDB,YBUD,Bundaberg Airport
GOO,YGDI,Goondiwindi Airport
BDD,YBAU,Badu Island Airport
CYG,YCRG,Corryong Airport
GOV,YPGV,Gove Airport
GPD,YGON,Mount Gordon Airport
GPN,YGPT,Garden Point Airport
CAZ,YCBA,Cobar Airport
STH,YSMR,Strathmore Airport
STF,YSTI,Stephens Island Airport
GSC,YGSC,Gascoyne Junction Airport
GSN,YMGN,Mount Gunson Airport
GTE,YGTE,Groote Eylandt Airport
GTS,YTGT,The Granites Airport
GTT,YGTN,Georgetown Airport
BDW,YBDF,Bedford Downs Airport
SRN,YSRN,Strahan Airport
GUH,YGDH,Gunnedah Airport
GUL,YGLB,Goulburn Airport
GVP,YGNV,Greenvale Airport
CBR,YSCB,Canberra Airport
SQC,YSCR,Southern Cross Airport
GYL,YARG,Argyle Airport
GYP,YGYM,Gympie Airport
HAT,YHTL,Heathlands Airport
CBX,YCDO,Condobolin Airport
HBA,YMHB,Hobart International Airport
SNH,YSPE,Stanthorpe Airport
BEO,YLMQ,Lake Macquarie Airport (Belmont Airport)
HCQ,YHLC,Halls Creek Airport
SNB,YSNB,Snake Bay Airport
SLJ,YSOL,Solomon Airport
HGD,YHUG,Hughenden Airport
CZY,YUNY,Cluny Airport
BEU,YBIE,Bedourie Airport
HID,YHID,Horn Island Airport
CCL,YCCA,Chinchilla Airport
HIG,YHHY,Highbury Airport
SIX,YSGT,Singleton Airport
HIP,YHDY,Headingly Airport
SIO,YSMI,Smithton Airport
SHU,YSMP,Smith Point Airport
SHT,YSHT,Shepparton Airport
SHQ,YSPT,Southport Airport
CCW,YCWL,Cowell Airport
HLL,YHIL,Hillside Airport
HLS,YSTH,St Helens Airport
HLT,YHML,Hamilton Airport
CDA,YCOO,Cooinda Airport
HMG,YHMB,Hermannsburg Airport
SGP,YSHG,Shay Gap Airport
SGO,YSGE,St George Airport
HOK,YHOO,Hooker Creek Airport
SCG,YSPK,Spring Creek Airport
SBR,YSII,Saibai Island Airport
HRY,YHBY,Henbury Airport
HSM,YHSM,Horsham Airport
HTI,YBHM,Great Barrier Reef Airport
HTU,YHPN,Hopetoun Airport
RVT,YNRV,Ravensthorpe Airport
CDQ,YCRY,Croydon Airport
HUB,YHBR,Humbert River Airport
DBO,YSDU,Dubbo City Regional Airport
RTY,YMYT,Merty Merty Airport
CDU,YSCN,Camden Airport
RTS,YRTI,Rottnest Island Airport
RTP,YRTP,Rutland Plains Airport
XTR,YTAA,Tara Airport
DBY,YDAY,Dalby Airport
AUA,TNCA,Queen Beatrix International Airport
LLK,UBBL,Lankaran International Airport
