iata,icao,airport
EWK,KEWK,Newton City/County Airport
EWB,KEWB,New Bedford Regional Airport
EVW,KEVW,Evanston-Uinta County Burns Field
EVM,KEVM,Eveleth-Virginia Municipal Airport
TYR,KTYR,Tyler Pounds Regional Airport
TYS,KTYS,McGhee Tyson Airport
TYZ,KTYL,Taylor Airport
MNN,KMNN,Marion Municipal Airport
TZC,KCFS,Tuscola Area Airport
MNZ,KHEF,Manassas Regional Airport
MOB,KMOB,Mobile Regional Airport
MAF,KMAF,Midland International Air and Space Port
MOD,KMOD,Modesto City-County Airport (Harry Sham Field)
MAE,KMAE,Madera Municipal Airport
MAC,KMAC,Macon Downtown Airport
LZU,KLZU,Gwinnett County Airport (Briscoe Field)
EUG,KEUG,Eugene Airport (Mahlon Sweet Airport)
EUF,KEUF,Weedon Field
MOP,KMOP,Mount Pleasant Municipal Airport
MGR,KMGR,Moultrie Municipal Airport
MOR,KMOR,Morristown Regional Airport (Moore-Murrell Airport)
ETS,KEDN,Enterprise Municipal Airport
ETN,KETN,Eastland Municipal Airport
UBS,KUBS,Columbus-Lowndes County Airport
ETB,KETB,West Bend Municipal Airport
ESW,KESW,Easton State Airport
MOT,KMOT,Minot International Airport
UCC,KUCC,Yucca Airstrip
MOU,PAMO,Mountain Village Airport
MOX,KMOX,Morris Municipal Airport
UCY,KUCY,Everett-Stewart Regional Airport
EST,KEST,Estherville Municipal Airport
UDD,KUDD,Bermuda Dunes Airport
MPJ,KMPJ,Petit Jean Park Airport
LYU,KELO,Ely Municipal Airport
ESN,KESN,Easton Airport (Newnam Field)
MPO,KMPO,Pocono Mountains Municipal Airport
MPR,KMPR,McPherson Airport
MPS,KOSA,Mount Pleasant Regional Airport
MPV,KMPV,Edward F. Knapp State Airport
UES,KUES,Waukesha County Airport (Crites Field)
MPZ,KMPZ,Mount Pleasant Municipal Airport
LYO,KLYO,Lyons-Rice County Municipal Airport
MQB,KMQB,Macomb Municipal Airport
UGN,KUGN,Waukegan National Airport
LYH,KLYH,Lynchburg Regional Airport (Preston Glenn Field)
ESF,KESF,Esler Airfield (Esler Regional Airport)
LXV,KLXV,Lake County Airport
ESD,KORS,Orcas Island Airport
MQT,KSAW,Sawyer International Airport
UIL,KUIL,Quillayute Airport
UIN,KUIN,Quincy Regional Airport (Baldwin Field)
ESC,KESC,Delta County Airport
LXN,KLXN,Jim Kelly Field
MQW,KMQW,Telfair-Wheeler Airport
MQY,KMQY,Smyrna Airport
LWV,KLWV,Lawrenceville-Vincennes International Airport
MRB,KMRB,Eastern WV Regional Airport (Shepherd Field)
MRC,KMRC,Maury County Airport
MFR,KMFR,Rogue Valley International-Medford Airport
ERV,KERV,Kerrville Municipal Airport (Louis Schreiner Field)
MRF,KMRF,Marfa Municipal Airport
UKI,KUKI,Ukiah Municipal Airport
LWT,KLWT,Lewistown Municipal Airport
MRI,PAMR,Merrill Field
UKT,KUKT,Quakertown Airport
LWS,KLWS,Lewiston-Nez Perce County Airport
MRK,KMKY,Marco Island Airport
MRN,KMRN,Foothills Regional Airport (was Morganton-Lenoir Airport)
LWM,KLWM,Lawrence Municipal Airport
LWL,KLWL,Wells Municipal Airport (Harriet Field)
ULM,KULM,New Ulm Municipal Airport
LWC,KLWC,Lawrence Municipal Airport
LWB,KLWB,Greenbrier Valley Airport
MRY,KMRY,Monterey Regional Airport
ERR,KERR,Errol Airport
LVS,KLVS,Las Vegas Municipal Airport
LVM,KLVM,Mission Field
MSC,KFFZ,Falcon Field Airport
ERI,KERI,Erie International Airport (Tom Ridge Field)
LVL,KLVL,Lawrenceville/Brunswick Municipal Airport
MSL,KMSL,Northwest Alabama Regional Airport
LVK,KLVK,Livermore Municipal Airport
UMM,PAST,Summit Airport
MSN,KMSN,Dane County Regional Airport (Truax Field)
MSO,KMSO,Missoula International Airport
UMT,PAUM,Umiat Airport
MSP,KMSP,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field)
MSS,KMSS,Massena International Airport (Richards Field)
MSV,KMSV,Sullivan County International Airport
MSY,KMSY,Louis Armstrong New Orleans International Airport
LUR,PALU,Cape Lisburne LRRS Airport
UNK,PAUN,Unalakleet Airport
MTC,KMTC,Selfridge Air National Guard Base
LUP,PHLU,Kalaupapa Airport
UNU,KUNU,Dodge County Airport
UOS,KUOS,Franklin County Airport
UOX,KUOX,University-Oxford Airport
EPH,KEPH,Ephrata Municipal Airport
LUL,KLUL,Hesler-Noble Field
UPP,PHUP,Upolu Airport
EOS,KEOS,Neosho Hugh Robinson Airport
LUK,KLUK,Cincinnati Municipal Airport (Lunken Field)
EOK,KEOK,Keokuk Municipal Airport
ENW,KENW,Kenosha Regional Airport
ENV,KENV,Wendover Airport
MTH,KMTH,Florida Keys Marathon Airport
LUF,KLUF,Luke Air Force Base
MTJ,KMTJ,Montrose Regional Airport
MTM,PAMM,Metlakatla Seaplane Base
MTN,KMTN,Martin State Airport
ENN,PANN,Nenana Municipal Airport
MTO,KMTO,Coles County Memorial Airport
MTP,KMTP,Montauk Airport
MTW,KMTW,Manitowoc County Airport
ENL,KENL,Centralia Municipal Airport
USA,KJQF,Concord Regional Airport
MTX,PABK,Metro Field
END,KEND,Vance Air Force Base
ENA,PAEN,Kenai Municipal Airport
LTS,KLTS,Altus Air Force Base
MUE,PHMU,Waimea-Kohala Airport
MUI,KMUI,Muir Army Airfield
MUL,KMUL,Spence Airport
EMT,KEMT,San Gabriel Valley Airport
UST,KSGJ,Northeast Florida Regional Airport
MUO,KMUO,Mountain Home Air Force Base
EMP,KEMP,Emporia Municipal Airport
MUT,KMUT,Muscatine Municipal Airport
LSV,KLSV,Nellis Air Force Base
LSN,KLSN,Los Banos Municipal Airport
MVC,KMVC,Monroe County Airport
EMM,KEMM,Kemmerer Municipal Airport
MVE,KMVE,Montevideo-Chippewa County Airport
UTM,KUTA,Tunica Municipal Airport
UTO,PAIM,Indian Mountain LRRS Airport
LSK,KLSK,Lusk Municipal Airport
LSF,KLSF,Lawson Army Airfield
MVL,KMVL,Morrisville-Stowe State Airport
MVN,KMVN,Mount Vernon Airport
LSE,KLSE,La Crosse Regional Airport
UUK,PAKU,Ugnu-Kuparuk Airport
LSB,KLSB,Lordsburg Municipal Airport
LRU,KLRU,Las Cruces International Airport
UVA,KUVA,Garner Field
MVW,KBVS,Skagit Regional Airport
MVY,KMVY,Martha's Vineyard Airport
EMK,PAEM,Emmonak Airport
MWA,KMWA,Williamson County Regional Airport
ELZ,KELZ,Wellsville Municipal Airport (Tarantine Field)
LRJ,KLRJ,Le Mars Municipal Airport
ELY,KELY,Ely Airport
MWC,KMWC,Lawrence J. Timmerman Airport
ELV,PAEL,Elfin Cove Seaplane Base
VAD,KVAD,Moody Air Force Base
MWH,KMWH,Grant County International Airport
ELP,KELP,El Paso International Airport
MWL,KMWL,Mineral Wells Airport
VAK,PAVA,Chevak Airport
ELN,KELN,Bowers Field
MWM,KMWM,Windom Municipal Airport
MWO,KMWO,Middletown Regional Airport (Hook Field)
LRF,KLRF,Little Rock Air Force Base
ELM,KELM,Elmira/Corning Regional Airport
LRD,KLRD,Laredo International Airport
MXA,KMXA,Manila Municipal Airport
ELK,KELK,Elk City Regional Business Airport
LQK,KLQK,Pickens County Airport
MXE,KMEB,Laurinburg-Maxton Airport
VBG,KVBG,Vandenberg Air Force Base
MXF,KMXF,Maxwell Air Force Base
ELI,PFEL,Elim Airport
MXO,KMXO,Monticello Regional Airport
ELD,KELD,South Arkansas Regional Airport at Goodwin Field
ELA,KELA,Eagle Lake Airport
EKX,KEKX,Elizabethtown Regional Airport (Addington Field)
VCT,KVCT,Victoria Regional Airport
VCV,KVCV,Southern California Logistics Airport
MXY,PAMX,McCarthy Airport
MYF,KMYF,Montgomery Field Airport
LPC,KLPC,Lompoc Airport
EKO,KEKO,Elko Regional Airport
VDI,KVDI,Vidalia Regional Airport
EKN,KEKN,Elkins-Randolph County Airport
LOZ,KLOZ,London-Corbin Airport (Magee Field)
VDZ,PAVD,Valdez Airport (Pioneer Field)
VEE,PAVE,Venetie Airport
VEL,KVEL,Vernal Regional Airport
LOW,KLKU,Louisa County Airport (Freeman Field)
EKA,KEKA,Murray Field
MYL,KMYL,McCall Municipal Airport
LOU,KLOU,Bowman Field
LOT,KLOT,Lewis University Airport
VGT,KVGT,North Las Vegas Airport
MYR,KMYR,Myrtle Beach International Airport
EIL,PAEI,Eielson Air Force Base
MYU,PAMY,Mekoryuk Airport
VHN,KVHN,Culberson County Airport
MYV,KMYV,Yuba County Airport
MZJ,KMZJ,Pinal Airpark
LOL,KLOL,Derby Field
LNY,PHNY,Lanai Airport
LNS,KLNS,Lancaster Airport
EHM,PAEH,Cape Newenham LRRS Airport
EGX,PAII,Egegik Airport
VIH,KVIH,Rolla National Airport
LNR,KLNR,Tri-County Regional Airport
LNP,KLNP,Lonesome Pine Airport
LNN,KLNN,Lost Nation Airport
VIS,KVIS,Visalia Municipal Airport
EGV,KEGV,Eagle River Union Airport
LNK,KLNK,Lincoln Airport
LNI,PALN,Point Lonely Short Range Radar Site
LND,KLND,Hunt Field
LNA,KLNA,Palm Beach County Park Airport
VJI,KVJI,Virginia Highlands Airport
LMT,KLMT,Klamath Falls Airport
LMS,KLMS,Louisville Winston County Airport
VKS,KVKS,Vicksburg Municipal Airport
NBG,KNBG,NAS JRB New Orleans (Alvin Callender Field)
VLA,KVLA,Vandalia Municipal Airport
VLD,KVLD,Valdosta Regional Airport
LMA,PAMH,Lake Minchumina Airport
LLY,KVAY,South Jersey Regional Airport
EGI,KEGI,Duke Field (Eglin Auxiliary Field 3)
EGE,KEGE,Eagle County Regional Airport
EFW,KEFW,Jefferson Municipal Airport
EFK,KEFK,Newport State Airport
LLX,KCDA,Caledonia County Airport
NCN,PFCB,Chenega Bay Airport
EFD,KEFD,Ellington Field
NCO,KOQU,Quonset State Airport
LKV,KLKV,Lake County Airport
LKP,KLKP,Lake Placid Airport
VNC,KVNC,Venice Municipal Airport
EEN,KEEN,Dillant-Hopkins Airport
MGJ,KMGJ,Orange County Airport
EEK,PAEE,Eek Airport
EED,KEED,Needles Airport
LKK,PAKL,Kulik Lake Airport
VNY,KVNY,Van Nuys Airport
EDW,KEDW,Edwards Air Force Base
LJN,KLBX,Texas Gulf Coast Regional Airport
LIY,KLHW,MidCoast Regional Airport at Wright Army Airfield
VOK,KVOK,Volk Field Air National Guard Base
EDK,KEQA,Captain Jack Thomas/El Dorado Airport
EDF,PAED,Elmendorf Air Force Base
NEL,KNEL,NAES Lakehurst (Maxfield Field)
EDE,KEDE,Northeastern Regional Airport
NEN,KNEN,NOLF Whitehouse
VPS,KVPS,Destin-Fort Walton Beach Airport / Eglin Air Force Base
NEW,KNEW,Lakefront Airport
VQQ,KVQQ,Cecil Airport
VQS,TJVQ,Antonio Rivera Rodriguez Airport
ECS,KECS,Mondell Field
VRB,KVRB,Vero Beach Regional Airport
NFL,KNFL,NAS Fallon (Van Voorhis Field)
ECP,KECP,Northwest Florida Beaches International Airport
LIT,KLIT,Clinton National Airport (Adams Field)
NGF,PHNG,MCAS Kaneohe Bay
ECG,KECG,Elizabeth City Regional Airport
NGP,KNGP,NAS Corpus Christi (Truax Field)
LIH,PHLI,Lihue Airport
VSF,KVSF,Hartness State Airport
NGU,KNGU,NS Norfolk (Chambers Field)
NGW,KNGW,NOLF Cabaniss Field
LIC,KLIC,Limon Municipal Airport
EBS,KEBS,Webster City Municipal Airport
NHK,KNHK,NAS Patuxent River (Trapnell Field)
LHV,KLHV,William T. Piper Memorial Airport
VTN,KVTN,Miller Field
NHX,KNBJ,NOLF Barin
NHZ,KBXM,Brunswick Executive Airport
NIB,PAFS,Nikolai Airport
NIP,KNIP,NAS Jacksonville (Towers Field)
EAU,KEAU,Chippewa Valley Regional Airport
EAT,KEAT,Pangborn Memorial Airport
LGU,KLGU,Logan-Cache Airport
NJK,KNJK,NAF El Centro
LGF,KLGF,Laguna Army Airfield
EAR,KEAR,Kearney Regional Airport
LGD,KLGD,La Grande/Union County Airport
EAN,KEAN,Phifer Airfield
LGC,KLGC,LaGrange Callaway Airport
VYS,KVYS,Illinois Valley Regional Airport (Walter A. Duncan Field)
WAA,PAIW,Wales Airport
LGB,KLGB,Long Beach Airport
LGA,KLGA,LaGuardia Airport
NKX,KNKX,MCAS Miramar
NLC,KNLC,NAS Lemoore (Reeves Field)
WAH,KBWP,Harry Stern Airport
LFT,KLFT,Lafayette Regional Airport
WAL,KWAL,Wallops Flight Facility
NLG,PAOU,Nelson Lagoon Airport
LFN,KLHZ,Triangle North Executive Airport (Franklin County Airport)
LFK,KLFK,Angelina County Airport
LFI,KLFI,Langley Air Force Base
LEX,KLEX,Blue Grass Airport
NME,PAGT,Nightmute Airport
WAY,KWAY,Greene County Airport
LEW,KLEW,Auburn/Lewiston Municipal Airport
LEM,KLEM,Lemmon Municipal Airport
NNL,PANO,Nondalton Airport
LEE,KLEE,Leesburg International Airport
WBQ,PAWB,Beaver Airport
WBR,KRQB,Roben-Hood Airport
WBU,KBDU,Boulder Municipal Airport
WBW,KWBW,Wilkes-Barre Wyoming Valley Airport
LEB,KLEB,Lebanon Municipal Airport
DYS,KDYS,Dyess Air Force Base
WCR,PALR,Chandalar Lake Airport
WDG,KWDG,Enid Woodring Regional Airport
LDM,KLDM,Mason County Airport
LDJ,KLDJ,Linden Airport
WDR,KWDR,Barrow County Airport
DYL,KDYL,Doylestown Airport
WEA,KWEA,Parker County Airport
DXR,KDXR,Danbury Municipal Airport
DXE,KMBO,Bruce Campbell Field
NOT,KDVO,Marin County Airport (Gnoss Field)
DWH,KDWH,David Wayne Hooks Memorial Airport
NPA,KNPA,NAS Pensacola (Forrest Sherman Field)
WFK,KFVE,Northern Aroostook Regional Airport
LCQ,KLCQ,Lake City Gateway Airport
LCK,KLCK,Rickenbacker International Airport
DVT,KDVT,Phoenix Deer Valley Airport
WGO,KOKV,Winchester Regional Airport
NPT,KUUU,Newport State Airport
DVN,KDVN,Davenport Municipal Airport
NQA,KNQA,Millington Regional Jetport
NQI,KNQI,NAS Kingsville
DVL,KDVL,Devils Lake Regional Airport (Devils Lake Municipal Airport)
LCI,KLCI,Laconia Municipal Airport
WHP,KWHP,Whiteman Airport
LCH,KLCH,Lake Charles Regional Airport
WHT,KARM,Wharton Regional Airport
DUT,PADU,Unalaska Airport
NQX,KNQX,NAS Key West (Boca Chica Field)
NRB,KNRB,NS Mayport (Admiral David L. McDonald Field)
DUJ,KDUJ,DuBois Regional Airport
DUG,KDUG,Bisbee Douglas International Airport
NRC,KNRC,NASA Crows Landing Airport
LBT,KLBT,Lumberton Municipal Airport
WJF,KWJF,General William J. Fox Airfield
LBL,KLBL,Liberal Mid-America Regional Airport
LBF,KLBF,North Platte Regional Airport (Lee Bird Field)
LBE,KLBE,Arnold Palmer Regional Airport
DUC,KDUC,Halliburton Field
DUA,KDUA,Durant Regional Airport-Eaker Field
DTW,KDTW,Detroit Metropolitan Wayne County Airport
WLD,KWLD,Strother Field
NRR,TJRV,Jose Aponte de la Torre Airport
WLK,PASK,Selawik Airport
DTN,KDTN,Shreveport Downtown Airport
DTL,KDTL,Detroit Lakes Airport (Wething Field)
WLW,KWLW,Willows-Glenn County Airport
NRS,KNRS,NOLF Imperial Beach (Ream Field)
LBB,KLBB,Lubbock Preston Smith International Airport
WMC,KWMC,Winnemucca Municipal Airport
NSE,KNSE,NAS Whiting Field - North
DTA,KDTA,Delta Municipal Airport
WMH,KBPK,Ozark Regional Airport
LAX,KLAX,Los Angeles International Airport
LAW,KLAW,Lawton-Fort Sill Regional Airport
NSL,KDVP,Slayton Municipal Airport
WMO,PAWM,White Mountain Airport
LAS,KLAS,McCarran International Airport
LAR,KLAR,Laramie Regional Airport
NTD,KNTD,NAS Point Mugu (Naval Base Ventura County)
WNA,PANA,Napakiak Airport
DSV,KDSV,Dansville Municipal Airport
LAN,KLAN,Capital Region International Airport
LAM,KLAM,Los Alamos County Airport
DSM,KDSM,Des Moines International Airport
LAL,KLAL,Lakeland Linder International Airport
LAA,KLAA,Lamar Municipal Airport
NTU,KNTU,NAS Oceana (Apollo Soucek Field)
DSI,KDTS,Destin Executive Airport
NUI,PAQT,Nuiqsut Airport
NUL,PANU,Nulato Airport
NUN,KNUN,NOLF Saufley Field
WOW,PAUO,Willow Airport
NUQ,KNUQ,Moffett Federal Airfield
DRT,KDRT,Del Rio International Airport
DRO,KDRO,Durango-La Plata County Airport
NUW,KNUW,NAS Whidbey Island (Ault Field)
DRI,KDRI,Beauregard Regional Airport
DRG,PADE,Deering Airport
WRB,KWRB,Robins Air Force Base
NVD,KNVD,Nevada Municipal Airport
WRG,PAWG,Wrangell Airport
WRI,KWRI,McGuire Air Force Base
WRL,KWRL,Worland Municipal Airport
DRE,KDRM,Drummond Island Airport
DRA,KDRA,Desert Rock Airport
KYU,PFKU,Koyukuk Airport
WSD,KWSD,Condron Army Airfield
WSF,PACS,Cape Sarichef Airport
WSG,KAFJ,Washington County Airport
WSH,KHWV,Brookhaven Airport
WSN,PFWS,South Naknek Airport
WST,KWST,Westerly State Airport
MFV,KMFV,Accomack County Airport
NYG,KNYG,MCAF Quantico (Turner Field)
KYK,PAKY,Karluk Airport
DPG,KDPG,Michael Army Airfield
MGM,KMGM,Montgomery Regional Airport (Dannelly Field)
WTK,PAWN,Noatak Airport
DPA,KDPA,DuPage Airport
NZY,KNZY,NAS North Island (Halsey Field)
KWT,PFKW,Kwethluk Airport
OAJ,KOAJ,Albert J. Ellis Airport
DOV,KDOV,Dover Air Force Base
OAK,KOAK,Oakland International Airport
OAR,KOAR,Marina Municipal Airport
KWN,PAQH,Quinhagak Airport
KWK,PAGG,Kwigillingok Airport
OBE,KOBE,Okeechobee County Airport
OBU,PAOB,Kobuk Airport
KVL,PAVL,Kivalina Airport
WVI,KWVI,Watsonville Municipal Airport
OCE,KOXB,Ocean City Municipal Airport
WVL,KWVL,Waterville Robert LaFleur Airport
DNV,KDNV,Vermilion Regional Airport
WWA,PAWS,Wasilla Airport
WWD,KWWD,Cape May Airport
DNS,KDNS,Denison Municipal Airport
OCF,KOCF,Ocala International Airport (Jim Taylor Field)
WWR,KWWR,West Woodward Airport
WWT,PAEW,Newtok Airport
OCH,KOCH,A.L. Mangham Jr. Regional Airport
DNN,KDNN,Dalton Municipal Airport
DNL,KDNL,Daniel Field
OCN,KOKB,Oceanside Municipal Airport
KVC,PAVC,King Cove Airport
WYS,KWYS,Yellowstone Airport
OCW,KOCW,Washington-Warren Airport (Warren Field)
DMO,KDMO,Sedalia Regional Airport
DMN,KDMN,Deming Municipal Airport
KUK,PFKA,Kasigluk Airport
ODW,KOKH,A.J. Eisenberg Airport
OEO,KOEO,L.O. Simenstad Municipal Airport
DMA,KDMA,Davis-Monthan Air Force Base
OFF,KOFF,Offutt Air Force Base
DLS,KDLS,Columbia Gorge Regional Airport (The Dalles Municipal Airport)
DLN,KDLN,Dillon Airport
OFK,KOFK,Norfolk Regional Airport (Karl Stefan Memorial Field)
OGA,KOGA,Searle Field
DLL,KDLC,Dillon County Airport
DLH,KDLH,Duluth International Airport
DLG,PADL,Dillingham Airport
DLF,KDLF,Laughlin Air Force Base
OGB,KOGB,Orangeburg Municipal Airport
OGD,KOGD,Ogden-Hinckley Airport
DKK,KDKK,Chautauqua County/Dunkirk Airport
OGG,PHOG,Kahului Airport
OGS,KOGS,Ogdensburg International Airport
KTS,PFKT,Brevig Mission Airport
KTN,PAKT,Ketchikan International Airport
OIC,KOIC,Lt. Warren Eaton Airport
DIK,KDIK,Dickinson Theodore Roosevelt Regional Airport
DHT,KDHT,Dalhart Municipal Airport
OJC,KOJC,Johnson County Executive Airport
OKC,KOKC,Will Rogers World Airport
OKM,KOKM,Okmulgee Regional Airport
DHN,KDHN,Dothan Regional Airport
KSM,PASM,St. Mary's Airport
OKS,KOKS,Garden County Airport
OLD,KOLD,Old Town Municipal Airport and Seaplane Base (Dewitt Field)
OLE,KOLE,Cattaraugus County-Olean Airport
DGW,KDGW,Converse County Airport
XMD,KMDS,Madison Municipal Airport
OLF,KOLF,L. M. Clayton Airport
OLM,KOLM,Olympia Regional Airport
OLS,KOLS,Nogales International Airport
OLU,KOLU,Columbus Municipal Airport
OLV,KOLV,Olive Branch Airport
OLY,KOLY,Olney-Noble Airport
DGN,KNDY,Naval Surface Warfare Center Dahlgren Division
XNA,KXNA,Northwest Arkansas Regional Airport
OMA,KOMA,Eppley Airfield
DGL,KDGL,Douglas Municipal Airport
DFW,KDFW,Dallas/Fort Worth International Airport
DFI,KDFI,Defiance Memorial Airport
OME,PAOM,Nome Airport
DET,KDET,Coleman A. Young International Airport
OMK,KOMK,Omak Airport
XPR,KIEN,Pine Ridge Airport
DEN,KDEN,Denver International Airport
ONA,KONA,Winona Municipal Airport (Max Conrad Field)
DEH,KDEH,Decorah Municipal Airport
DEC,KDEC,Decatur Airport
XSD,KTNX,Tonopah Test Range Airport
ONL,KONL,O'Neill Municipal Airport (John L. Baker Field)
DDC,KDDC,Dodge City Regional Airport
ONM,KONM,Socorro Municipal Airport
ONO,KONO,Ontario Municipal Airport
DCU,KDCU,Pryor Field Regional Airport
DCA,KDCA,Ronald Reagan Washington National Airport
ONP,KONP,Newport Municipal Airport
KPV,PAPE,Perryville Airport
ONT,KONT,Ontario International Airport
DBQ,KDBQ,Dubuque Regional Airport
DBN,KDBN,W. H. 'Bud' Barron Airport
ONY,KONY,Olney Municipal Airport
DAY,KDAY,Dayton International Airport
OOA,KOOA,Oskaloosa Municipal Airport
OOK,PAOO,Toksook Bay Airport
KPN,PAKI,Kipnuk Airport
YAK,PAYA,Yakutat Airport
DAN,KDAN,Danville Regional Airport
OPF,KOPF,Miami-Opa Locka Executive Airport
DAL,KDAL,Dallas Love Field
DAG,KDAG,Barstow-Daggett Airport
DAB,KDAB,Daytona Beach International Airport
DAA,KDAA,Davison Army Airfield
KPC,PAPC,Port Clarence Coast Guard Station
CZT,KCZT,Dimmit County Airport
OPL,KOPL,St. Landry Parish Airport (Ahart Field)
CZK,KCZK,Cascade Locks State Airport
CZF,PACZ,Cape Romanzof LRRS Airport
ORD,KORD,O'Hare International Airport
ORF,KORF,Norfolk International Airport
ORH,KORH,Worcester Regional Airport
CYT,PACY,Yakataga Airport
CYS,KCYS,Cheyenne Regional Airport (Jerry Olson Field)
ORI,KORI,Port Lions Airport
KOT,PFKO,Kotlik Airport
CYF,PACK,Chefornak Airport
ORL,KORL,Orlando Executive Airport
CXO,KCXO,Lone Star Executive Airport
KOA,PHKO,Kona International Airport at Keahole
CXL,KCXL,Calexico International Airport
ORT,PAOR,Northway Airport
CXF,PACX,Coldfoot Airport
CWI,KCWI,Clinton Municipal Airport
CWF,KCWF,Chennault International Airport
ORV,PFNO,Robert (Bob) Curtis Memorial Airport
CWA,KCWA,Central Wisconsin Airport
KNW,PANW,New Stuyahok Airport
CVS,KCVS,Cannon Air Force Base
CVO,KCVO,Corvallis Municipal Airport
CVN,KCVN,Clovis Municipal Airport
KNT,KTKX,Kennett Memorial Airport
KNK,PFKK,Kokhanok Airport
CVG,KCVG,Cincinnati/Northern Kentucky International Airport
OSC,KOSC,Oscoda-Wurtsmith Airport
OSH,KOSH,Wittman Regional Airport
KNB,KKNB,Kanab Municipal Airport
CUH,KCUH,Cushing Municipal Airport
CUB,KCUB,Jim Hamilton-L.B. Owens Airport
OSU,KOSU,Ohio State University Airport
CTZ,KCTZ,Clinton-Sampson County Airport
CTY,KCTY,Cross City Airport
OSX,KOSX,Kosciusko-Attala County Airport
CTH,KMQS,Chester County G. O. Carlson Airport
OTG,KOTG,Worthington Municipal Airport
OTH,KOTH,Southwest Oregon Regional Airport
OTK,KTMK,Tillamook Airport
OTM,KOTM,Ottumwa Regional Airport
CTB,KCTB,Cut Bank Municipal Airport
CSV,KCSV,Crossville Memorial-Whitson Field
CSQ,KCSQ,Creston Municipal Airport
CSN,KCXP,Carson Airport
CSM,KCSM,Clinton-Sherman Airport
OTZ,PAOT,Ralph Wien Memorial Airport
KMO,PAMB,Manokotak Airport
CSG,KCSG,Columbus Airport
OUN,KOUN,University of Oklahoma Westheimer Airport (Max Westheimer Airport)
KLW,PAKW,Klawock Airport
CRX,KCRX,Roscoe Turner Airport
CRW,KCRW,Yeager Airport
CRT,KCRT,Z. M. Jack Stell Field
CRS,KCRS,C. David Campbell Field (Corsicana Municipal Airport)
CRP,KCRP,Corpus Christi International Airport
CRO,KCRO,Corcoran Airport
OVE,KOVE,Oroville Municipal Airport
KLS,KKLS,Southwest Washington Regional Airport
CRG,KCRG,Jacksonville Executive at Craig Airport
CRE,KCRE,Grand Strand Airport
OWA,KOWA,Owatonna Degner Regional Airport
CPX,TJCP,Benjamin Rivera Noriega Airport
CPS,KCPS,St. Louis Downtown Airport
CPR,KCPR,Casper-Natrona County International Airport
CPM,KCPM,Compton/Woodley Airport
OWB,KOWB,Owensboro-Daviess County Airport
OWD,KOWD,Norwood Memorial Airport
COU,KCOU,Columbia Regional Airport
COT,KCOT,Cotulla-La Salle County Airport
COS,KCOS,Colorado Springs Airport
OWK,KOWK,Central Maine Airport of Norridgewock
CON,KCON,Concord Municipal Airport
COM,KCOM,Coleman Municipal Airport
COI,KCOI,Merritt Island Airport
COF,KCOF,Patrick Air Force Base
COE,KCOE,Coeur d'Alene Airport
COD,KCOD,Yellowstone Regional Airport
CNY,KCNY,Canyonlands Field
KLN,PALB,Larsen Bay Airport
CNW,KCNW,TSTC Waco Airport
CNU,KCNU,Chanute Martin Johnson Airport
CNO,KCNO,Chino Airport
CNM,KCNM,Cavern City Air Terminal
CNK,KCNK,Blosser Municipal Airport
CNH,KCNH,Claremont Municipal Airport
OXC,KOXC,Waterbury-Oxford Airport
OXD,KOXD,Miami University Airport
CMY,KCMY,Sparta/Fort McCoy Airport
CMX,KCMX,Houghton County Memorial Airport
KLG,PALG,Kalskag Airport
OXR,KOXR,Oxnard Airport
OZA,KOZA,Ozona Municipal Airport
OZR,KOZR,Cairns Army Airfield
PAE,KPAE,Paine Field (Snohomish County Airport)
PAH,KPAH,Barkley Regional Airport
CMI,KCMI,University of Illinois Willard Airport
CMH,KCMH,John Glenn Columbus International Airport
PAK,PHPA,Port Allen Airport
PAM,KPAM,Tyndall Air Force Base
CLW,KCLW,Clearwater Air Park
CLT,KCLT,Charlotte Douglas International Airport
CLS,KCLS,Chehalis-Centralia Airport
YIP,KYIP,Willow Run Airport
CLR,KCLR,Cliff Hatfield Memorial Airport
PAO,KPAO,Palo Alto Airport (Santa Clara County Airport)
CLP,PFCL,Clarks Point Airport
CLM,KCLM,William R. Fairchild International Airport
CLL,KCLL,Easterwood Airport (Easterwood Field)
CLK,KCLK,Clinton Regional Airport
PAQ,PAAQ,Palmer Municipal Airport
CLI,KCLI,Clintonville Municipal Airport
CLE,KCLE,Cleveland Hopkins International Airport
CLD,KCRQ,McClellan-Palomar Airport
CKV,KCKV,Clarksville-Montgomery County Regional Airport (Outlaw Field)
CKN,KCKN,Crookston Municipal Airport (Kirkwood Field)
YKM,KYKM,Yakima Air Terminal (McAllister Field)
YKN,KYKN,Chan Gurney Municipal Airport
CKM,KCKM,Fletcher Field
KKH,PADY,Kongiganak Airport
CKK,KCVK,Sharp County Regional Airport
KKA,PAKK,Koyuk Alfred Adams Airport
PBF,KPBF,Grider Field
CKB,KCKB,North Central West Virginia Airport
CKA,KCKA,Kegelman Air Force Auxiliary Field
PBG,KPBG,Plattsburgh International Airport
PBI,KPBI,Palm Beach International Airport
KIP,KCWC,Kickapoo Downtown Airport
PCA,PAOC,Portage Creek Airport
PCD,KPDC,Prairie du Chien Municipal Airport
KIC,KKIC,Mesa Del Rey Airport
CIU,KCIU,Chippewa County International Airport
CIR,KCIR,Cairo Regional Airport
