iata,icao,airline
I9,IBU,Indigo Airlines
VP,AXC,Indochina Airlines
QZ,AWQ,Indonesia AirAsia
IO,IAA,Indonesian Airlines
C4,IMX,Zimex Aviation
H4,IIN,Inter Island Airways
D6,ILN,Interair South Africa
ZA,SUW,Interavia Airlines
JY,IWY,InterCaribbean Airways
RS,ICT,Intercontinental de Aviación
ID,ITK,Interlink Airlines
N/A,NCC,"T3 Aviation, Inc."
6I,IBZ,International Business Air
3L,ISK,Intersky
I4,FWA,*Interstate Airlines*
IR,IRA,Iran Air
EP,IRC,Iran Aseman Airlines
IA,IAW,Iraqi Airways
IH,MZA,Irtysh Air
2S,SDY,Island Express
IF,ISW,Islas Airways
WC,ISV,Islena De Inversiones
6H,ISR,Israir
AZ,ITY,ITA Airways
FS,ACL,Itali Airlines
GI,IKA,Itek Air
H9,IZM,Izair
JC,JEX,JAL Express
JO,JAZ,JALways
MT,JMC,JMC Airlines
JI,JAE,Jade Cargo International
3X,JAC,Japan Air Commuter
JL,JAL,Japan Airlines
JL,JAL,Japan Airlines Domestic
EG,JAA,Japan Asia Airways
NU,JTA,Japan Transocean Air
JA,JAT,JetSMART
VJ,JTY,Jatayu Airlines
J9,JZR,Jazeera Airways
7C,JJA,Jeju Air
O2,JEA,OLT Express
9W,JAI,Jet Airways
PP,PJS,Jet Aviation
3K,JSA,Jetstar Asia Airways
LS,EXS,Jet2.com
B6,JBU,JetBlue Airways
JF,JAA,Jet Asia Airways
0J,JCS,Jetclub
SG,JGO,JetsGo
JQ,JST,Jetstar
GK,JJP,Jetstar Japan
JM,JKT,Jetstar Hong Kong Airways
*JX*,JEC,Jett8 Airlines Cargo
JO,JTG,Jettime
GX,JXX,JetX Airlines
LJ,JNA,Jin Air
R5,JAV,Jordan Aviation
J4,JCI,Jordan International Air Cargo
XE,JSX,JSX (airline)
6J,JUB,Jubba Airways
HO,DKH,Juneyao Airlines
KW,KHK,Kharkiv Airlines
KD,KLS,Kalstar Aviation
KD,KNI,KD Avia
WA,KLC,KLM Cityhopper
KL,KLM,KLM
N2,QNK,Kabo Air
KI,KAI,KaiserAir
K4,CKS,Kalitta Air
K9,KFS,Kalitta Charters
CB*,KII,Kalitta Charters II
RQ,KMF,Kam Air
E2,KMP,Kampuchea Airlines
V2,AKT,Karat
KV,MVD,Kavminvodyavia
3Q,KCH,KC International Airlines
KW,KFA,Kelowna Flightcraft Air Charter
M5,KEN,Kenmore Air
KQ,KQA,Kenya Airways
ZN,KEY,Key Airlines
KG,LYM,Key Lime Air
BZ,KEE,Keystone Air Service
K6,KZW,Khalifa Airways
"X9 

KO",KHO,Khors Aircompany
IT,KFR,Kingfisher Airlines
4I,KNX,Knighthawk Air Express
Y9,IRK,Kish Air
KR,KHA,Kitty Hawk Aircargo
2K,KHC,Kitty Hawk Airways
KP,KIA,Kiwi International Air Lines
7K,KGL,Kogalymavia Air Company
8J,KMV,Komiinteravia
KE,KAL,Korean Air
7B,KJC,Krasnojarsky Airlines
K9,KRI,Krylo Airlines
GW,KIL,Kuban Airlines
VD,KPA,Kunpeng Airlines
KU,KAC,Kuwait Airways
GO,KZU,Kuzu Airlines Cargo
N5,KGZ,Kyrgyz Airlines
QH,LYN,Kyrgyzstan
